name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,brand,Kebutuhan_Tier,brand_encoded,target_encoded
Intel Celeron E3300 @ 2.50GHz,64.78,65.0,2009-09-01,LGA775,Desktop,2500.0,0.0,1,2,1,3153,245,Intel,Casual / Office,1,0
Intel Celeron E3400 @ 2.60GHz,39.99,65.0,2010-03-01,LGA775,Desktop,2600.0,0.0,1,2,1,3142,366,Intel,Casual / Office,1,0
Intel Celeron E3500 @ 2.70GHz,19.99,65.0,2011-03-01,LGA775,Desktop,2700.0,0.0,1,2,1,3042,13,Intel,Casual / Office,1,0
Intel Celeron G1101 @ 2.27GHz,19.77,73.0,2011-04-01,FCLGA1156,Desktop,2270.0,0.0,1,2,1,2899,2,Intel,Casual / Office,1,0
Intel Celeron G1610 @ 2.60GHz,37.0,55.0,2012-12-01,FCLGA1155,Desktop,2600.0,0.0,1,2,1,2582,579,Intel,Casual / Office,1,0
Intel Celeron G1610T @ 2.30GHz,14.98,35.0,2013-11-01,LGA1155,Desktop,2300.0,0.0,1,2,1,2660,73,Intel,Casual / Office,1,0
Intel Celeron G1620 @ 2.70GHz,70.1,55.0,2013-02-01,FCLGA1155,Desktop,2700.0,0.0,1,2,1,2559,372,Intel,Casual / Office,1,0
Intel Celeron G1620T @ 2.40GHz,42.0,35.0,2014-03-01,LGA1155,Desktop,2400.0,0.0,1,2,1,2547,6,Intel,Casual / Office,1,0
Intel Celeron G1630 @ 2.80GHz,69.99,55.0,2013-10-01,FCLGA1155,Desktop,2800.0,0.0,1,2,1,2439,35,Intel,Casual / Office,1,0
Intel Celeron G1820 @ 2.70GHz,48.29,53.0,2014-01-01,FCLGA1150,Desktop,2700.0,0.0,1,2,1,2461,389,Intel,Casual / Office,1,0
Intel Celeron G1820T @ 2.40GHz,42.0,35.0,2014-02-01,LGA1150,Desktop,2400.0,0.0,1,2,1,2495,24,Intel,Casual / Office,1,0
Intel Celeron G1830 @ 2.80GHz,89.0,53.0,2014-02-01,LGA1150,Desktop,2800.0,0.0,1,2,1,2527,43,Intel,Casual / Office,1,0
Intel Celeron G1840 @ 2.80GHz,54.96,53.0,2014-06-01,FCLGA1150,Desktop,2800.0,0.0,1,2,1,2399,597,Intel,Casual / Office,1,0
Intel Celeron G1850 @ 2.90GHz,99.0,54.0,2014-05-01,FCLGA1150,Desktop,2900.0,0.0,1,2,1,2316,42,Intel,Casual / Office,1,0
Intel Celeron G3900 @ 2.80GHz,51.99,51.0,2016-02-01,FCLGA1151,Desktop,2800.0,0.0,1,2,1,2162,274,Intel,Casual / Office,1,0
Intel Celeron G3900E @ 2.40GHz,107.0,35.0,2017-04-01,FCBGA1440,Laptop,2400.0,0.0,1,2,1,2237,1,Intel,Casual / Office,1,0
Intel Celeron G3900T @ 2.60GHz,112.46,35.0,2016-04-01,Unknown,Desktop,2600.0,0.0,1,2,1,2208,11,Intel,Casual / Office,1,0
Intel Celeron G3900TE @ 2.30GHz,59.95,35.0,2018-07-01,FCLGA1151,Laptop,2300.0,0.0,1,2,1,2352,4,Intel,Casual / Office,1,0
